true_freq,matched_freq,difference,within_tolerance
100000,1,99999,False
100000,1,99999,False
100000,1,99999,False
100000,1,99999,False
100000,1,99999,False
100000,1,99999,False
100000,1,99999,False
100000,1,99999,False
100000,1,99999,False
100000,1,99999,False
100000,1,99999,False
100000,1,99999,False
100000,1,99999,False
100000,1,99999,False
100000,1,99999,False
100000,1,99999,False
100000,1,99999,False
100000,1,99999,False
100000,1,99999,False
98450,1,98449,False
95796,1,95795,False
94563,1,94562,False
91023,1,91022,False
68409,1,68408,False
67653,1,67652,False
67641,1,67640,False
64708,1,64707,False
64356,1,64355,False
52538,1,52537,False
50710,1,50709,False
50264,1,50263,False
47232,1,47231,False
45695,1,45694,False
42991,1,42990,False
42182,1,42181,False
40980,1,40979,False
37650,1,37649,False
36068,1,36067,False
35268,1,35267,False
31636,1,31635,False
30985,1,30984,False
29602,1,29601,False
28413,1,28412,False
28208,1,28207,False
27843,1,27842,False
27657,1,27656,False
27583,1,27582,False
27329,1,27328,False
26872,1,26871,False
26679,1,26678,False
