true_freq,matched_freq,difference,within_tolerance
50000,50000,0,True
50000,50001,1,True
50000,50051,51,True
50000,50081,81,True
50000,50094,94,True
50000,50189,189,True
50000,50244,244,True
50000,50341,341,True
50000,50341,341,True
50000,48934,1066,True
50000,51281,1281,True
50000,51299,1299,True
50000,51647,1647,True
50000,51689,1689,True
50000,51938,1938,True
50000,52476,2476,True
50000,52957,2957,False
50000,52957,2957,False
50000,52957,2957,False
49857,52957,3100,False
48051,46345,1706,True
47716,45967,1749,True
46290,45334,956,True
34626,34472,154,True
33079,32815,264,True
32732,32624,108,True
32724,31517,1207,True
32531,30263,2268,False
24617,28889,4272,False
24536,28889,4353,False
23555,28889,5334,False
23438,28889,5451,False
22621,28889,6268,False
22393,28889,6496,False
21218,28889,7671,False
20185,28889,8704,False
19799,28889,9090,False
16651,28889,12238,False
14895,28889,13994,False
14865,28889,14024,False
14578,28889,14311,False
14192,28889,14697,False
13725,28889,15164,False
13310,28889,15579,False
13104,28889,15785,False
12890,28889,15999,False
12867,28889,16022,False
12655,28889,16234,False
12337,28889,16552,False
12302,28889,16587,False
