true_freq,matched_freq,difference,within_tolerance
5000,5000,0,True
5000,5000,0,True
5000,5000,0,True
5000,5000,0,True
5000,5001,1,True
5000,5009,9,True
5000,5009,9,True
5000,5017,17,True
5000,5020,20,True
5000,5029,29,True
5000,5039,39,True
5000,4919,81,True
5000,5091,91,True
5000,5166,166,True
5000,4829,171,True
5000,4825,175,True
5000,4782,218,True
5000,5270,270,False
5000,5270,270,False
4989,4725,264,False
4931,4725,206,True
4866,5270,404,False
4782,4339,443,False
4155,4135,20,True
4135,4135,0,True
4135,4335,200,True
3236,3225,11,True
3205,3140,65,True
3103,2990,113,True
3035,2937,98,True
3024,2742,282,False
2694,2742,48,True
2542,2544,2,True
2516,2516,0,True
2512,2577,65,True
2345,3371,1026,False
2143,3371,1228,False
2063,3371,1308,False
2048,3371,1323,False
1982,3371,1389,False
1868,3371,1503,False
1823,3371,1548,False
1819,3371,1552,False
1764,3371,1607,False
1756,3371,1615,False
1704,3371,1667,False
1665,3371,1706,False
1547,3371,1824,False
1470,3371,1901,False
1265,3371,2106,False
