true_freq,matched_freq,difference,within_tolerance
100000,100000,0,True
100000,100001,1,True
100000,100087,87,True
100000,99862,138,True
100000,100159,159,True
100000,100326,326,True
100000,100482,482,True
100000,100647,647,True
100000,100751,751,True
100000,100898,898,True
100000,101191,1191,True
100000,98220,1780,True
100000,102118,2118,True
100000,102828,2828,True
100000,102876,2876,True
100000,102892,2892,True
100000,104784,4784,True
100000,105562,5562,False
100000,105562,5562,False
98450,105562,7112,False
95796,91162,4634,True
94563,89306,5257,False
91023,89306,1717,True
68409,71150,2741,True
67653,74915,7262,False
67641,74915,7274,False
64708,74915,10207,False
64356,74915,10559,False
52538,74915,22377,False
50710,74915,24205,False
50264,74915,24651,False
47232,74915,27683,False
45695,74915,29220,False
42991,74915,31924,False
42182,74915,32733,False
40980,74915,33935,False
37650,74915,37265,False
36068,74915,38847,False
35268,74915,39647,False
31636,74915,43279,False
30985,74915,43930,False
29602,74915,45313,False
28413,74915,46502,False
28208,74915,46707,False
27843,74915,47072,False
27657,74915,47258,False
27583,74915,47332,False
27329,74915,47586,False
26872,74915,48043,False
26679,74915,48236,False
